,CarrierDel,CarrierID,Delays,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
465,,UA,4010.0,,5,,43454,,,2003
466,,US,4356.0,,5,,35354,,,2003
467,,WN,8238.0,,5,,80466,,,2003
468,,XE,2333.0,,5,,27553,,,2003
469,3966.0,AA,8775.0,4150.0,6,8068.0,62278,137.0,1948.0,2003
470,1175.0,AS,2345.0,1144.0,6,1166.0,14537,71.0,19.0,2003
471,593.0,B6,919.0,275.0,6,385.0,5272,55.0,21.0,2003
472,1175.0,CO,3079.0,1317.0,6,3502.0,25484,32.0,403.0,2003
473,1746.0,DH,3718.0,945.0,6,2189.0,24117,7.0,257.0,2003
474,3360.0,DL,5605.0,2578.0,6,7348.0,53579,12.0,353.0,2003
475,2259.0,EV,4937.0,1497.0,6,3844.0,22352,18.0,694.0,2003
476,567.0,FL,2201.0,1282.0,6,1923.0,12142,0.0,88.0,2003
477,1259.0,HP,1714.0,554.0,6,1458.0,15760,32.0,38.0,2003
478,2426.0,MQ,4986.0,2949.0,6,3855.0,34949,17.0,463.0,2003
479,3363.0,NW,4515.0,1483.0,6,4390.0,41529,30.0,625.0,2003
480,1425.0,OO,2432.0,449.0,6,651.0,31990,92.0,241.0,2003
481,277.0,TZ,601.0,278.0,6,582.0,5789,20.0,20.0,2003
482,2328.0,UA,5002.0,2489.0,6,4485.0,44793,23.0,438.0,2003
483,2843.0,US,5127.0,3614.0,6,5147.0,34368,0.0,262.0,2003
484,4689.0,WN,12338.0,7861.0,6,4756.0,79325,163.0,610.0,2003
485,1195.0,XE,3196.0,1713.0,6,3909.0,28232,33.0,517.0,2003
486,5619.0,AA,11365.0,5707.0,7,9580.0,65400,64.0,1964.0,2003
487,1278.0,AS,2665.0,1306.0,7,1178.0,15570,66.0,53.0,2003
488,333.0,B6,610.0,278.0,7,420.0,5839,64.0,34.0,2003
489,1247.0,CO,3309.0,1494.0,7,3884.0,26646,35.0,380.0,2003
490,2053.0,DH,4469.0,1123.0,7,2574.0,24621,12.0,522.0,2003
491,3784.0,DL,6674.0,3237.0,7,8537.0,55295,10.0,601.0,2003
492,2795.0,EV,5856.0,2108.0,7,4906.0,22258,17.0,604.0,2003
493,749.0,FL,2686.0,1667.0,7,2488.0,12892,0.0,108.0,2003
494,1799.0,HP,2384.0,804.0,7,1596.0,16279,29.0,97.0,2003
495,2719.0,MQ,5848.0,3577.0,7,4584.0,36286,19.0,434.0,2003
496,3589.0,NW,5027.0,1734.0,7,4600.0,43819,28.0,829.0,2003
497,1557.0,OO,2317.0,377.0,7,275.0,33609,30.0,318.0,2003
498,395.0,TZ,1031.0,594.0,7,913.0,5923,36.0,38.0,2003
499,3060.0,UA,6737.0,3572.0,7,5672.0,47937,0.0,670.0,2003
500,3357.0,US,6281.0,4211.0,7,5901.0,34885,0.0,545.0,2003
501,5270.0,WN,13683.0,8829.0,7,5127.0,81608,114.0,945.0,2003
502,1401.0,XE,3606.0,2165.0,7,4594.0,29701,40.0,511.0,2003
503,5421.0,AA,11571.0,5780.0,8,10036.0,65247,100.0,2664.0,2003
504,1578.0,AS,3089.0,1595.0,8,1669.0,15537,82.0,36.0,2003
505,732.0,B6,1138.0,581.0,8,347.0,5860,54.0,34.0,2003
506,1248.0,CO,3378.0,1336.0,8,3860.0,26114,18.0,343.0,2003
507,1949.0,DH,4388.0,1221.0,8,2732.0,24437,17.0,572.0,2003
508,4327.0,DL,7311.0,3491.0,8,9344.0,56067,7.0,504.0,2003
509,2178.0,EV,5058.0,1916.0,8,4485.0,21738,20.0,549.0,2003
510,814.0,FL,3158.0,1839.0,8,2806.0,12668,0.0,121.0,2003
511,1827.0,HP,2342.0,865.0,8,1812.0,16171,28.0,95.0,2003
512,2663.0,MQ,5831.0,3707.0,8,4807.0,36207,25.0,675.0,2003
513,3612.0,NW,5244.0,1832.0,8,4868.0,43900,27.0,857.0,2003
514,1721.0,OO,2893.0,477.0,8,565.0,34626,30.0,404.0,2003
515,330.0,TZ,858.0,454.0,8,721.0,5949,51.0,22.0,2003
516,2811.0,UA,5935.0,3050.0,8,5255.0,47381,1.0,580.0,2003
517,3447.0,US,6790.0,4564.0,8,6196.0,34772,0.0,749.0,2003
