,Cancelled,CarrierDel,CarrierID,Delays,DepState,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
284,42.0,,,810.0,NM,,6,,3022,,,2000
285,247.0,,,4344.0,NV,,6,,14068,,,2000
286,1499.0,,,3766.0,NY,,6,,18066,,,2000
287,384.0,,,1683.0,OH,,6,,8793,,,2000
288,57.0,,,756.0,OK,,6,,3348,,,2000
289,141.0,,,1193.0,OR,,6,,5073,,,2000
290,1439.0,,,5778.0,PA,,6,,20343,,,2000
291,16.0,,,268.0,PR,,6,,2098,,,2000
292,57.0,,,426.0,RI,,6,,2110,,,2000
293,116.0,,,239.0,SC,,6,,1806,,,2000
294,4.0,,,32.0,SD,,6,,404,,,2000
295,236.0,,,1987.0,TN,,6,,10368,,,2000
296,1479.0,,,13170.0,TX,,6,,50998,,,2000
297,108.0,,,1401.0,UT,,6,,6638,,,2000
298,1123.0,,,3241.0,VA,,6,,15217,,,2000
299,1.0,,,34.0,VI,,6,,274,,,2000
300,11.0,,,56.0,VT,,6,,220,,,2000
301,346.0,,,2882.0,WA,,6,,10325,,,2000
302,49.0,,,245.0,WI,,6,,1888,,,2000
303,3.0,,,16.0,WV,,6,,104,,,2000
304,0.0,,,13.0,WY,,6,,84,,,2000
305,336.0,,,1204.0,AK,,7,,4850,,,2000
306,40.0,,,363.0,AL,,7,,2520,,,2000
307,14.0,,,165.0,AR,,7,,1136,,,2000
308,617.0,,,4618.0,AZ,,7,,17488,,,2000
309,1922.0,,,15111.0,CA,,7,,60113,,,2000
310,541.0,,,5268.0,CO,,7,,13252,,,2000
311,92.0,,,618.0,CT,,7,,3124,,,2000
312,514.0,,,6269.0,FL,,7,,29950,,,2000
313,633.0,,,5003.0,GA,,7,,22505,,,2000
314,10.0,,,203.0,HI,,7,,1449,,,2000
315,80.0,,,224.0,IA,,7,,1078,,,2000
316,20.0,,,246.0,ID,,7,,1155,,,2000
317,1893.0,,,10749.0,IL,,7,,30018,,,2000
318,100.0,,,529.0,IN,,7,,3198,,,2000
319,24.0,,,95.0,KS,,7,,560,,,2000
320,178.0,,,1323.0,KY,,7,,8356,,,2000
321,75.0,,,823.0,LA,,7,,5187,,,2000
322,750.0,,,2194.0,MA,,7,,9802,,,2000
323,135.0,,,1859.0,MD,,7,,7746,,,2000
324,12.0,,,126.0,ME,,7,,525,,,2000
325,437.0,,,3072.0,MI,,7,,14664,,,2000
326,307.0,,,2513.0,MN,,7,,13414,,,2000
327,390.0,,,4579.0,MO,,7,,20065,,,2000
328,11.0,,,103.0,MS,,7,,850,,,2000
329,7.0,,,104.0,MT,,7,,956,,,2000
330,369.0,,,3171.0,NC,,7,,15932,,,2000
331,1.0,,,34.0,ND,,7,,494,,,2000
332,39.0,,,365.0,NE,,7,,1730,,,2000
333,23.0,,,271.0,NH,,7,,1163,,,2000
334,565.0,,,2124.0,NJ,,7,,10441,,,2000
335,38.0,,,647.0,NM,,7,,3078,,,2000
336,234.0,,,3674.0,NV,,7,,13682,,,2000
337,992.0,,,3590.0,NY,,7,,19390,,,2000
338,304.0,,,1456.0,OH,,7,,8814,,,2000
339,32.0,,,596.0,OK,,7,,3321,,,2000
340,133.0,,,1071.0,OR,,7,,5142,,,2000
341,1012.0,,,5158.0,PA,,7,,20939,,,2000
342,17.0,,,401.0,PR,,7,,2209,,,2000
343,42.0,,,421.0,RI,,7,,2179,,,2000
344,87.0,,,235.0,SC,,7,,1834,,,2000
345,2.0,,,29.0,SD,,7,,401,,,2000
346,145.0,,,1778.0,TN,,7,,10597,,,2000
347,786.0,,,8971.0,TX,,7,,51855,,,2000
348,97.0,,,1274.0,UT,,7,,6825,,,2000
349,960.0,,,2983.0,VA,,7,,15822,,,2000
350,1.0,,,37.0,VI,,7,,272,,,2000
351,13.0,,,70.0,VT,,7,,246,,,2000
352,437.0,,,2638.0,WA,,7,,10901,,,2000
353,54.0,,,241.0,WI,,7,,1899,,,2000
354,5.0,,,20.0,WV,,7,,106,,,2000
355,0.0,,,20.0,WY,,7,,109,,,2000
356,219.0,,,1124.0,AK,,8,,4799,,,2000
357,51.0,,,280.0,AL,,8,,2605,,,2000
358,8.0,,,149.0,AR,,8,,1173,,,2000
359,455.0,,,5188.0,AZ,,8,,17766,,,2000
360,1743.0,,,15383.0,CA,,8,,61139,,,2000
361,591.0,,,4963.0,CO,,8,,13275,,,2000
362,78.0,,,576.0,CT,,8,,3174,,,2000
363,591.0,,,6071.0,FL,,8,,30262,,,2000
364,689.0,,,4465.0,GA,,8,,23213,,,2000
365,23.0,,,201.0,HI,,8,,1446,,,2000
366,62.0,,,218.0,IA,,8,,1080,,,2000
367,9.0,,,293.0,ID,,8,,1145,,,2000
368,1821.0,,,10600.0,IL,,8,,30374,,,2000
369,112.0,,,613.0,IN,,8,,3329,,,2000
370,26.0,,,90.0,KS,,8,,577,,,2000
371,170.0,,,1330.0,KY,,8,,8501,,,2000
372,73.0,,,703.0,LA,,8,,5288,,,2000
373,701.0,,,2370.0,MA,,8,,9986,,,2000
374,113.0,,,2014.0,MD,,8,,7906,,,2000
375,15.0,,,120.0,ME,,8,,527,,,2000
376,407.0,,,2919.0,MI,,8,,14866,,,2000
377,301.0,,,2273.0,MN,,8,,13574,,,2000
378,304.0,,,4233.0,MO,,8,,20321,,,2000
379,7.0,,,94.0,MS,,8,,862,,,2000
380,5.0,,,105.0,MT,,8,,961,,,2000
381,413.0,,,3417.0,NC,,8,,16136,,,2000
382,9.0,,,29.0,ND,,8,,523,,,2000
383,29.0,,,370.0,NE,,8,,1708,,,2000
384,19.0,,,324.0,NH,,8,,1174,,,2000
385,564.0,,,2610.0,NJ,,8,,10740,,,2000
386,43.0,,,694.0,NM,,8,,3176,,,2000
387,194.0,,,4082.0,NV,,8,,13983,,,2000
388,1101.0,,,4383.0,NY,,8,,20003,,,2000
389,262.0,,,1603.0,OH,,8,,8960,,,2000
390,48.0,,,515.0,OK,,8,,3398,,,2000
391,83.0,,,1094.0,OR,,8,,5181,,,2000
392,915.0,,,5689.0,PA,,8,,21145,,,2000
393,97.0,,,414.0,PR,,8,,2171,,,2000
394,25.0,,,462.0,RI,,8,,2293,,,2000
395,86.0,,,239.0,SC,,8,,1874,,,2000
396,4.0,,,31.0,SD,,8,,405,,,2000
397,171.0,,,1678.0,TN,,8,,10745,,,2000
398,979.0,,,8455.0,TX,,8,,53040,,,2000
399,110.0,,,1232.0,UT,,8,,6910,,,2000
400,973.0,,,3295.0,VA,,8,,16084,,,2000
401,11.0,,,33.0,VI,,8,,265,,,2000
402,8.0,,,70.0,VT,,8,,248,,,2000
403,219.0,,,2648.0,WA,,8,,10911,,,2000
404,52.0,,,229.0,WI,,8,,1933,,,2000
405,1.0,,,14.0,WV,,8,,106,,,2000
406,1.0,,,24.0,WY,,8,,105,,,2000
407,160.0,,,673.0,AK,,9,,3888,,,2000
408,37.0,,,332.0,AL,,9,,2469,,,2000
409,13.0,,,131.0,AR,,9,,1113,,,2000
410,270.0,,,3079.0,AZ,,9,,16857,,,2000
411,1270.0,,,9869.0,CA,,9,,57599,,,2000
412,247.0,,,2170.0,CO,,9,,12189,,,2000
