,Cancelled,CarrierDel,CarrierID,Delays,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
222,2488.0,,US Airways,2286.0,,9,,17495,,,2001
223,553.0,,KH,261.0,,9,,5082,,,2001
224,10226.0,,American Eagle Airlines Inc.,5074.0,,9,,42811,,,2001
225,8030.0,,Northwest Airlines Inc.,4489.0,,9,,43275,,,2001
226,2363.0,,Trans World Airways LLC,1722.0,,9,,19427,,,2001
227,16242.0,,United Air Lines Inc.,6774.0,,9,,59590,,,2001
228,15443.0,,US Airways,4581.0,,9,,57377,,,2001
229,9810.0,,Southwest Airlines Co.,7156.0,,9,,79079,,,2001
230,793.0,,American Airlines Inc.,9802.0,,10,,51963,,,2001
231,108.0,,Alaska Airlines Inc.,2158.0,,10,,11240,,,2001
232,182.0,,Continental Air Lines Inc.,1915.0,,10,,26537,,,2001
233,549.0,,Delta Air Lines Inc.,6201.0,,10,,60133,,,2001
234,138.0,,US Airways,2374.0,,10,,16206,,,2001
235,80.0,,KH,650.0,,10,,4222,,,2001
236,2579.0,,American Eagle Airlines Inc.,4146.0,,10,,38898,,,2001
237,626.0,,Northwest Airlines Inc.,3974.0,,10,,37967,,,2001
238,150.0,,Trans World Airways LLC,2480.0,,10,,19140,,,2001
239,351.0,,United Air Lines Inc.,8727.0,,10,,51285,,,2001
240,584.0,,US Airways,4571.0,,10,,42941,,,2001
241,710.0,,Southwest Airlines Co.,12025.0,,10,,83264,,,2001
242,677.0,,American Airlines Inc.,6207.0,,11,,50000,,,2001
243,150.0,,Alaska Airlines Inc.,2367.0,,11,,11490,,,2001
244,136.0,,Continental Air Lines Inc.,2306.0,,11,,26824,,,2001
245,816.0,,Delta Air Lines Inc.,6087.0,,11,,59226,,,2001
246,80.0,,US Airways,1641.0,,11,,13986,,,2001
247,1083.0,,American Eagle Airlines Inc.,4902.0,,11,,34430,,,2001
248,307.0,,Northwest Airlines Inc.,3643.0,,11,,37734,,,2001
249,74.0,,Trans World Airways LLC,1910.0,,11,,16588,,,2001
250,207.0,,United Air Lines Inc.,5460.0,,11,,43391,,,2001
251,368.0,,US Airways,5600.0,,11,,46861,,,2001
252,599.0,,Southwest Airlines Co.,11548.0,,11,,76856,,,2001
253,138.0,,American Airlines Inc.,7421.0,,12,,52121,,,2001
254,183.0,,Alaska Airlines Inc.,3095.0,,12,,11983,,,2001
255,61.0,,Continental Air Lines Inc.,3246.0,,12,,27748,,,2001
256,418.0,,Delta Air Lines Inc.,8696.0,,12,,61728,,,2001
257,98.0,,US Airways,1839.0,,12,,14828,,,2001
258,931.0,,American Eagle Airlines Inc.,5370.0,,12,,35082,,,2001
259,430.0,,Northwest Airlines Inc.,6873.0,,12,,40279,,,2001
260,61.0,,Trans World Airways LLC,2942.0,,12,,16905,,,2001
261,262.0,,United Air Lines Inc.,6991.0,,12,,44676,,,2001
262,1062.0,,US Airways,7145.0,,12,,47689,,,2001
263,689.0,,Southwest Airlines Co.,18149.0,,12,,76830,,,2001
264,854.0,,American Airlines Inc.,8425.0,,1,,70210,,,2002
265,274.0,,Alaska Airlines Inc.,2305.0,,1,,12009,,,2002
266,80.0,,Continental Air Lines Inc.,2404.0,,1,,27493,,,2002
267,1843.0,,Delta Air Lines Inc.,8811.0,,1,,62669,,,2002
268,118.0,,US Airways,1672.0,,1,,15135,,,2002
269,1127.0,,American Eagle Airlines Inc.,4878.0,,1,,36049,,,2002
270,732.0,,Northwest Airlines Inc.,5214.0,,1,,39817,,,2002
271,709.0,,United Air Lines Inc.,6008.0,,1,,45765,,,2002
272,712.0,,US Airways,5866.0,,1,,47132,,,2002
273,852.0,,Southwest Airlines Co.,13787.0,,1,,80057,,,2002
274,754.0,,American Airlines Inc.,5892.0,,2,,63455,,,2002
275,266.0,,Alaska Airlines Inc.,2143.0,,2,,11642,,,2002
276,41.0,,Continental Air Lines Inc.,1791.0,,2,,25480,,,2002
277,833.0,,Delta Air Lines Inc.,5981.0,,2,,56751,,,2002
278,44.0,,US Airways,1340.0,,2,,13709,,,2002
279,727.0,,American Eagle Airlines Inc.,4304.0,,2,,33387,,,2002
280,530.0,,Northwest Airlines Inc.,4744.0,,2,,37679,,,2002
281,248.0,,United Air Lines Inc.,4072.0,,2,,42083,,,2002
282,334.0,,US Airways,4398.0,,2,,42567,,,2002
